County,2017 Population,Net Domestic Migration,Domestic Migration Rate,Net International Migration,International Migration Rate,Natural Change
"Attala County, MS","18,477",-67,-3.6,3,0.2,-24
"Audrain County, MO","25,641",-309,-12,3,0.1,72
"Auglaize County, OH","45,778",-134,-2.9,45,1,72
"Augusta County, VA","75,144",416,5.5,21,0.3,-66
"Austin County, TX","29,786",42,1.4,36,1.2,74
"Autauga County, AL","55,504",58,1,15,0.3,154
"Avery County, NC","17,536",75,4.3,15,0.9,-54
"Avoyelles Parish, LA","40,980",-183,-4.5,41,1,83
"Bacon County, GA","11,319",-99,-8.7,14,1.2,39
"Baker County, FL","28,283",256,9.1,9,0.3,101
"Baker County, OR","16,054",148,9.2,2,0.1,-44
"Baldwin County, AL","212,628","4,702",22.4,164,0.8,235
"Baldwin County, GA","44,906",-255,-5.7,28,0.6,-58
"Baltimore city, MD","611,648","-9,209",-15,"2,282",3.7,"1,629"
"Baltimore County, MD","832,468","-3,867",-4.6,"3,546",4.3,"1,361"
"Bamberg County, SC","14,381",-91,-6.3,4,0.3,-61
"Bandera County, TX","22,351",667,30.3,5,0.2,-33
"Banks County, GA","18,634",260,14.1,2,0.1,62
"Bannock County, ID","85,269",109,1.3,235,2.8,548
"Barbour County, AL","25,270",-486,-19,-3,-0.1,-16
"Barbour County, WV","16,497",-176,-10.6,-5,-0.3,-41
"Barnes County, ND","10,734",-199,-18.4,9,0.8,-5
"Barnstable County, MA","213,444","1,023",4.8,307,1.4,"-1,313"
"Barnwell County, SC","21,345",-220,-10.2,0,0,-27
"Barren County, KY","43,801",-76,-1.7,33,0.8,56
"Barron County, WI","45,251",-66,-1.5,39,0.9,15
"Barrow County, GA","79,061","1,374",17.6,64,0.8,524
"Barry County, MI","60,586",790,13.1,9,0.1,73
"Barry County, MO","35,668",255,7.2,57,1.6,17
"Bartholomew County, IN","82,040",-633,-7.7,392,4.8,409
"Barton County, KS","26,476",-498,-18.7,21,0.8,42
"Barton County, MO","11,850",-32,-2.7,5,0.4,19
"Bartow County, GA","105,054","1,181",11.3,9,0.1,431
"Bastrop County, TX","84,761","1,553",18.5,16,0.2,437
"Bates County, MO","16,334",-27,-1.7,1,0.1,-11
"Bath County, KY","12,378",95,7.7,-2,-0.2,16
"Baxter County, AR","41,355",499,12.1,17,0.4,-306
"Bay County, FL","183,563",-76,-0.4,239,1.3,417
"Bay County, MI","104,239",-114,-1.1,20,0.2,-143
"Bayfield County, WI","15,008",129,8.6,4,0.3,-63
"Beadle County, SD","18,157",-214,-11.8,163,9,122
"Beaufort County, NC","47,088",-137,-2.9,7,0.1,-140
"Beaufort County, SC","186,844","2,779",15,154,0.8,398
"Beauregard Parish, LA","36,928",-221,-6,13,0.4,138
"Beaver County, PA","166,140",-564,-3.4,39,0.2,-450
"Becker County, MN","34,098",249,7.3,49,1.4,51
"Beckham County, OK","21,793",-692,-31.3,17,0.8,34
"Bedford County, PA","48,480",-96,-2,10,0.2,-84
"Bedford County, TN","48,117",522,10.9,46,1,129
"Bedford County, VA","77,974",331,4.2,25,0.3,-206
"Bee County, TX","32,563",-453,-13.9,11,0.3,168
"Belknap County, NH","60,785",364,6,47,0.8,-229
"Bell County, KY","26,894",-268,-9.9,4,0.1,-34
"Bell County, TX","347,833","1,552",4.5,940,2.7,"4,131"
"Belmont County, OH","68,029",-323,-4.7,-18,-0.3,-197
"Beltrami County, MN","46,513",170,3.7,64,1.4,269
"Ben Hill County, GA","16,996",-210,-12.3,-4,-0.2,21
"Bennington County, VT","35,594",-164,-4.6,15,0.4,-110
"Benton County, AR","266,300","4,784",18.2,802,3.1,"1,991"
"Benton County, IA","25,642",-76,-3,4,0.2,73
"Benton County, MN","39,937",197,5,13,0.3,262
"Benton County, MO","19,074",282,14.8,-2,-0.1,-126
"Benton County, OR","90,951",966,10.7,508,5.6,178
"Benton County, TN","15,986",24,1.5,4,0.2,-100
"Benton County, WA","198,171","3,077",15.7,313,1.6,"1,298"
"Benzie County, MI","17,573",108,6.2,-3,-0.2,-55
"Bergen County, NJ","948,406","-2,446",-2.6,"6,188",6.5,"2,296"
"Berkeley County, SC","217,937","4,454",20.7,261,1.2,"1,338"
"Berkeley County, WV","114,920","1,276",11.2,-5,0,375
"Berks County, PA","417,854",-522,-1.3,"1,738",4.2,922
"Berkshire County, MA","126,313",-453,-3.6,288,2.3,-375
"Bernalillo County, NM","676,773","-1,860",-2.8,"1,111",1.6,"1,968"
"Berrien County, GA","19,186",112,5.9,20,1,41
"Berrien County, MI","154,259",-407,-2.6,434,2.8,79
"Bertie County, NC","19,224",-176,-9.1,27,1.4,-77
"Bethel Census Area, AK","18,076",-187,-10.4,4,0.2,278
"Bexar County, TX","1,958,578","10,304",5.3,"5,788",3,"14,729"
"Bibb County, AL","22,668",-20,-0.9,20,0.9,37
"Bibb County, GA","152,862","-1,017",-6.6,230,1.5,445
"Bienville Parish, LA","13,638",-131,-9.5,1,0.1,-40
"Big Horn County, MT","13,360",-129,-9.7,5,0.4,112
"Big Horn County, WY","11,906",-56,-4.7,-2,-0.2,24
"Bingham County, ID","45,927",315,6.9,22,0.5,339
"Black Hawk County, IA","132,648",-978,-7.4,325,2.4,487
"Blackford County, IN","11,976",-51,-4.2,0,0,-47
"Bladen County, NC","33,478",-239,-7.1,38,1.1,-118
"Blaine County, ID","22,024",125,5.7,39,1.8,118
"Blair County, PA","123,457",-123,-1,24,0.2,-364
"Blanco County, TX","11,626",270,23.5,29,2.5,-15
"Bleckley County, GA","12,830",-97,-7.5,17,1.3,11
"Bledsoe County, TN","14,717",115,7.8,-1,-0.1,6
"Blount County, AL","58,013",359,6.2,62,1.1,32
"Blount County, TN","129,929","1,736",13.4,50,0.4,-103
"Blue Earth County, MN","66,973",315,4.7,147,2.2,269
"Bolivar County, MS","31,945",-739,-22.9,15,0.5,34
"Bollinger County, MO","12,306",118,9.6,0,0,-15
"Bond County, IL","16,948",118,7,10,0.6,-21
"Bonner County, ID","43,560","1,226",28.5,-4,-0.1,-7
"Bonneville County, ID","114,595","1,378",12.2,44,0.4,"1,147"
"Boone County, AR","37,381",205,5.5,-7,-0.2,-7
"Boone County, IA","26,484",81,3.1,-15,-0.6,1
"Boone County, IL","53,513",-256,-4.8,-4,-0.1,211
"Boone County, IN","65,875","1,244",19.1,60,0.9,331
"Boone County, KY","130,728",588,4.5,272,2.1,720
"Boone County, MO","178,271",-29,-0.2,730,4.1,"1,017"
"Boone County, WV","22,349",-366,-16.2,-4,-0.2,-78
"Bosque County, TX","18,326",345,19,8,0.4,-39
"Bossier Parish, LA","127,634",387,3,241,1.9,758
"Botetourt County, VA","33,192",161,4.9,-1,0,-117
"Boulder County, CO","322,514",-504,-1.6,863,2.7,987
"Boundary County, ID","11,922",233,19.8,4,0.3,35
"Bourbon County, KS","14,754",-6,-0.4,28,1.9,59
"Bourbon County, KY","20,029",-22,-1.1,20,1,-25
"Bowie County, TX","94,012",-197,-2.1,69,0.7,263
"Box Butte County, NE","10,886",-369,-33.4,8,0.7,53
"Box Elder County, UT","54,079",541,10.1,-3,-0.1,568
"Boyd County, KY","47,979",-209,-4.3,4,0.1,-9
"Boyle County, KY","29,924",16,0.5,17,0.6,3
"Bradford County, FL","27,038",347,12.9,1,0,-36
"Bradford County, PA","60,853",-142,-2.3,24,0.4,-12
"Bradley County, AR","10,864",-121,-11.1,4,0.4,1
"Bradley County, TN","105,560",846,8.1,154,1.5,151
"Branch County, MI","43,410",-194,-4.5,50,1.2,100
"Brantley County, GA","18,731",371,20,-23,-1.2,27
"Braxton County, WV","14,237",-91,-6.4,-2,-0.1,-10
"Brazoria County, TX","362,457","5,401",15.1,701,2,"2,523"
"Brazos County, TX","222,830",-151,-0.7,"1,548",7,"1,871"
"Breathitt County, KY","12,946",-206,-15.8,0,0,-38
"Breckinridge County, KY","20,111",124,6.2,-2,-0.1,36
"Bremer County, IA","24,911",29,1.2,46,1.9,53
"Brevard County, FL","589,162","11,689",20,"1,437",2.5,"-1,899"
"Bristol city, VA","16,790",-57,-3.4,-1,-0.1,-79
"Bristol County, MA","561,483","1,266",2.3,"1,583",2.8,356
"Bristol County, RI","48,912",127,2.6,88,1.8,-178
"Bronx County, NY","1,471,160","-27,949",-19,"19,568",13.3,"10,480"
"Brooke County, WV","22,443",-124,-5.5,-7,-0.3,-133
"Brookings County, SD","34,255",-166,-4.9,122,3.6,242
"Brooks County, GA","15,587",-79,-5.1,9,0.6,-36
"Broome County, NY","193,639","-1,591",-8.2,584,3,-188
"Broomfield County, CO","68,341","1,331",19.7,112,1.7,383
"Broward County, FL","1,935,878","-5,858",-3,"18,285",9.5,"6,387"
"Brown County, IN","15,035",46,3.1,-1,-0.1,-17
"Brown County, MN","25,194",-99,-3.9,13,0.5,20
"Brown County, OH","43,576",-60,-1.4,-4,-0.1,-2
"Brown County, SD","39,178",19,0.5,77,2,167
"Brown County, TX","38,053",-6,-0.2,45,1.2,-49
"Brown County, WI","262,052",584,2.2,409,1.6,"1,486"
"Brunswick County, NC","130,897","4,973",38.7,-2,0,-471
"Brunswick County, VA","16,244",42,2.6,17,1,-88
"Bryan County, GA","37,060",922,25.3,6,0.2,289
"Bryan County, OK","46,319",776,16.9,7,0.2,41
"Buchanan County, IA","21,202",61,2.9,10,0.5,99
"Buchanan County, MO","89,065",-878,-9.8,319,3.6,268
"Buchanan County, VA","21,514",-470,-21.6,7,0.3,-130
"Buckingham County, VA","17,065",27,1.6,5,0.3,-27
"Bucks County, PA","628,341",651,1,"1,002",1.6,-21
"Buena Vista County, IA","20,110",-373,-18.5,83,4.1,130
"Buffalo County, NE","49,732",-164,-3.3,164,3.3,352
"Buffalo County, WI","13,167",-27,-2.1,12,0.9,23
"Bullitt County, KY","80,246",900,11.3,7,0.1,130
"Bulloch County, GA","76,149",930,12.3,146,1.9,348
"Bullock County, AL","10,309",-170,-16.4,18,1.7,20
"Buncombe County, NC","257,607","2,078",8.1,209,0.8,-19
"Bureau County, IL","33,243",-192,-5.8,15,0.4,-13
"Burke County, GA","22,522",-143,-6.3,5,0.2,53
"Burke County, NC","89,293",537,6,78,0.9,-120
"Burleigh County, ND","95,030",-81,-0.9,78,0.8,605
"Burleson County, TX","18,011",168,9.4,29,1.6,2
"Burlington County, NJ","448,596","-1,018",-2.3,930,2.1,352
"Burnet County, TX","46,804",823,17.8,6,0.1,58
"Burnett County, WI","15,352",132,8.6,3,0.2,-12
"Butler County, AL","19,825",-121,-6.1,7,0.4,-25
"Butler County, IA","14,606",-56,-3.8,12,0.8,-38
"Butler County, KS","66,878",88,1.3,29,0.4,116
"Butler County, KY","12,831",109,8.5,2,0.2,19
"Butler County, MO","42,666",-148,-3.5,3,0.1,24
"Butler County, OH","380,604",668,1.8,839,2.2,"1,184"
"Butler County, PA","187,108",913,4.9,129,0.7,-131
"Butte County, CA","229,294","2,346",10.3,316,1.4,100
"Butte County, SD","10,107",-30,-3,-3,-0.3,14
"Butts County, GA","24,059",337,14.1,1,0,9
"Cabarrus County, NC","206,872","4,086",20,229,1.1,975
"Cabell County, WV","94,958",-769,-8.1,69,0.7,-8
"Cache County, UT","124,438",-48,-0.4,242,2,"1,906"
"Caddo County, OK","29,173",-404,-13.8,30,1,6
"Caddo Parish, LA","246,581","-3,430",-13.8,167,0.7,691
"Calaveras County, CA","45,670",455,10,27,0.6,-128
"Calcasieu Parish, LA","202,445",779,3.9,170,0.8,869
"Caldwell County, KY","12,639",46,3.6,-1,-0.1,-24
"Caldwell County, NC","81,981",278,3.4,63,0.8,-140
"Caldwell County, TX","42,338",967,23.2,12,0.3,249
"Caledonia County, VT","30,164",20,0.7,2,0.1,-22
"Calhoun County, AL","114,728",-247,-2.2,82,0.7,-85
"Calhoun County, FL","14,483",130,9,5,0.3,-15
"Calhoun County, MI","134,128",-590,-4.4,318,2.4,223
"Calhoun County, MS","14,492",-70,-4.8,3,0.2,-3
"Calhoun County, SC","14,704",-6,-0.4,8,0.5,-48
"Calhoun County, TX","21,744",-328,-15,41,1.9,89
"Callahan County, TX","13,946",185,13.3,7,0.5,-24
"Callaway County, MO","45,032",-160,-3.6,27,0.6,89
"Calloway County, KY","38,919",-47,-1.2,218,5.6,-23
"Calumet County, WI","50,067",251,5,31,0.6,141
"Calvert County, MD","91,502",131,1.4,58,0.6,219
"Cambria County, PA","133,054",-834,-6.2,46,0.3,-469
"Camden County, GA","53,044",192,3.6,1,0,435
"Camden County, MO","45,632",668,14.7,42,0.9,-89
"Camden County, NC","10,581",124,11.8,16,1.5,19
"Camden County, NJ","510,719","-3,438",-6.7,"1,930",3.8,"1,477"
"Cameron County, TX","423,725","-3,403",-8,"1,047",2.5,"4,308"
"Camp County, TX","12,855",-8,-0.6,46,3.6,44
"Campbell County, KY","92,488",134,1.5,145,1.6,178
"Campbell County, TN","39,648",134,3.4,-10,-0.3,-146
"Campbell County, VA","55,010",-204,-3.7,52,0.9,-15
"Campbell County, WY","46,242","-3,032",-63.8,5,0.1,455
"Canadian County, OK","139,926","2,753",19.9,83,0.6,777
"Candler County, GA","10,797",-150,-13.8,25,2.3,8
"Cannon County, TN","14,216",275,19.6,11,0.8,23
"Canyon County, ID","216,699","3,826",17.9,-18,-0.1,"1,763"
"Cape Girardeau County, MO","78,161",-471,-6,109,1.4,132
"Cape May County, NJ","93,553",-95,-1,145,1.5,-410
"Carbon County, MT","10,696",213,20.1,2,0.2,-14
"Carbon County, PA","63,853",522,8.2,12,0.2,-195
"Carbon County, UT","20,295",-195,-9.6,5,0.2,113
"Carbon County, WY","15,303",-503,-32.4,-1,-0.1,79
"Carlton County, MN","35,498",-49,-1.4,6,0.2,-2
"Caroline County, MD","33,193",176,5.3,76,2.3,56
"Caroline County, VA","30,461",264,8.7,13,0.4,111
"Carroll County, AR","27,944",130,4.7,59,2.1,28
"Carroll County, GA","117,812",822,7,197,1.7,502
"Carroll County, IA","20,320",-76,-3.7,7,0.3,22
"Carroll County, IL","14,518",-67,-4.6,8,0.5,-33
"Carroll County, IN","20,039",64,3.2,7,0.3,2
"Carroll County, KY","10,713",70,6.6,0,0,44
"Carroll County, MD","167,781",419,2.5,65,0.4,170
"Carroll County, MS","10,139",-50,-4.9,-1,-0.1,-20
"Carroll County, NH","48,064",843,17.7,18,0.4,-200
"Carroll County, OH","27,385",-237,-8.6,3,0.1,-18
"Carroll County, TN","27,860",15,0.5,5,0.2,-83
"Carroll County, VA","29,708",125,4.2,12,0.4,-126
"Carson City, NV","54,745",526,9.6,19,0.3,-85
"Carter County, KY","27,144",-104,-3.8,12,0.4,-9
"Carter County, OK","48,190",-221,-4.6,12,0.2,40
"Carter County, TN","56,488",253,4.5,3,0.1,-224
"Carteret County, NC","68,881",253,3.7,40,0.6,-261
"Carver County, MN","102,119","1,037",10.2,67,0.7,694
"Cascade County, MT","81,654",-121,-1.5,-2,0,294
"Casey County, KY","15,750",23,1.5,-4,-0.3,-29
"Cass County, IA","13,145",8,0.6,0,0,-42
"Cass County, IL","12,505",-267,-21.2,54,4.3,35
"Cass County, IN","37,994",-204,-5.4,121,3.2,64
"Cass County, MI","51,381",243,4.7,-11,-0.2,-54
"Cass County, MN","29,355",343,11.8,8,0.3,3
"Cass County, MO","103,724",653,6.3,58,0.6,241
"Cass County, ND","177,787",847,4.8,786,4.5,"1,524"
"Cass County, NE","25,889",252,9.8,-6,-0.2,51
"Cass County, TX","30,012",-1,0,18,0.6,-84
"Cassia County, ID","23,664",-18,-0.8,29,1.2,192
"Caswell County, NC","22,646",-54,-2.4,19,0.8,-59
"Catawba County, NC","157,974",960,6.1,305,1.9,70
"Catoosa County, GA","66,550",226,3.4,24,0.4,37
"Cattaraugus County, NY","77,348",-494,-6.4,59,0.8,22
"Cayuga County, NY","77,603",-238,-3.1,76,1,10
"Cecil County, MD","102,746",-245,-2.4,103,1,190
"Cedar County, IA","18,543",127,6.9,13,0.7,-1
"Cedar County, MO","14,073",208,14.9,-1,-0.1,-21
"Centre County, PA","162,660",-853,-5.3,"1,202",7.4,222
"Cerro Gordo County, IA","43,006",-55,-1.3,44,1,-44
"Chaffee County, CO","19,638",577,29.8,-2,-0.1,-23
"Chambers County, AL","33,713",65,1.9,17,0.5,-84
"Chambers County, TX","41,441",761,18.6,120,2.9,279
"Champaign County, IL","209,399","-2,884",-13.8,"1,971",9.4,"1,022"
"Champaign County, OH","38,840",101,2.6,5,0.1,0
"Charles County, MD","159,700","1,359",8.6,181,1.1,739
"Charleston County, SC","401,438","2,975",7.5,299,0.7,"1,575"
"Charlevoix County, MI","26,139",44,1.7,26,1,-53
"Charlotte County, FL","182,033","5,047",28,418,2.3,"-1,618"
"Charlotte County, VA","12,119",-6,-0.5,1,0.1,-6
"Charlottesville city, VA","48,019",-20,-0.4,452,9.5,300
"Charlton County, GA","12,715",-150,-11.8,67,5.3,45
"Chatham County, GA","290,501","-1,164",-4,810,2.8,"1,489"
"Chatham County, NC","71,472","1,685",23.9,38,0.5,-80
"Chattahoochee County, GA","10,343",3,0.3,74,7.2,166
"Chattooga County, GA","24,770",-78,-3.1,7,0.3,9
"Chautauqua County, NY","129,046",-826,-6.4,229,1.8,6
"Chaves County, NM","64,866",-821,-12.6,31,0.5,282
"Cheatham County, TN","40,330",521,13,2,0,80
"Cheboygan County, MI","25,369",111,4.4,1,0,-146
"Chelan County, WA","76,533",215,2.8,81,1.1,272
"Chemung County, NY","85,557",-569,-6.6,81,0.9,5
"Chenango County, NY","47,863",-408,-8.5,17,0.4,-69
"Cherokee County, AL","25,857",178,6.9,7,0.3,-94
"Cherokee County, GA","247,573","4,452",18.2,198,0.8,"1,302"
"Cherokee County, IA","11,316",-55,-4.8,6,0.5,-38
"Cherokee County, KS","20,115",-71,-3.5,-6,-0.3,-26
"Cherokee County, NC","28,087",291,10.4,3,0.1,-89
"Cherokee County, OK","48,888",-19,-0.4,31,0.6,128
"Cherokee County, SC","57,105",308,5.4,-1,0,74
"Cherokee County, TX","52,240",51,1,43,0.8,254
"Chesapeake city, VA","240,397","1,276",5.3,375,1.6,"1,143"
"Cheshire County, NH","75,960",249,3.3,32,0.4,-13
"Chester County, PA","519,293",-105,-0.2,"1,566",3,"1,366"
"Chester County, SC","32,301",70,2.2,-4,-0.1,-44
"Chester County, TN","17,119",-3,-0.2,7,0.4,13
"Chesterfield County, SC","45,948",-200,-4.3,32,0.7,-54
"Chesterfield County, VA","343,599","2,700",7.9,714,2.1,"1,390"
"Chickasaw County, IA","12,005",-79,-6.6,1,0.1,19
"Chickasaw County, MS","17,146",-137,-8,21,1.2,28
"Chicot County, AR","10,636",-255,-23.7,19,1.8,-41
"Chilton County, AL","44,067",167,3.8,24,0.5,47
"Chippewa County, MI","37,711",-10,-0.3,46,1.2,-20
"Chippewa County, MN","11,980",-120,-10,26,2.2,38
"Chippewa County, WI","63,813",103,1.6,18,0.3,130
"Chisago County, MN","55,308",467,8.5,19,0.3,227
"Chittenden County, VT","162,372",-314,-1.9,684,4.2,480
"Choctaw County, AL","12,945",-71,-5.5,-2,-0.2,-31
"Choctaw County, OK","14,863",-53,-3.6,3,0.2,-2
"Chowan County, NC","14,105",-92,-6.5,6,0.4,-50
"Christian County, IL","33,102",-141,-4.2,0,0,-26
"Christian County, KY","70,416","-2,178",-30.6,16,0.2,844
"Christian County, MO","85,432",843,9.9,7,0.1,423
"Churchill County, NV","24,230",135,5.6,42,1.7,38
"Cibola County, NM","26,853",-219,-8.1,22,0.8,52
"Citrus County, FL","145,647","4,034",28,93,0.6,"-1,481"
"Clackamas County, OR","412,672","4,915",12,298,0.7,784
"Claiborne County, TN","31,609",167,5.3,0,0,-119
"Claiborne Parish, LA","15,969",-153,-9.5,-1,-0.1,-41
"Clallam County, WA","75,474","1,654",22.1,45,0.6,-328
"Clare County, MI","30,653",313,10.3,3,0.1,-69
"Clarendon County, SC","34,057",-128,-3.7,2,0.1,-55
"Clarion County, PA","38,458",-114,-3,33,0.9,-18
"Clark County, AR","22,293",-242,-10.8,15,0.7,-30
"Clark County, IL","15,767",-48,-3,-2,-0.1,-30
"Clark County, IN","116,973",776,6.7,76,0.7,320
"Clark County, KY","36,046",51,1.4,1,0,107
"Clark County, NV","2,204,079","29,414",13.5,"7,221",3.3,"10,582"
"Clark County, OH","134,557",44,0.3,19,0.1,-119
"Clark County, WA","474,643","6,633",14.1,372,0.8,"2,068"
"Clark County, WI","34,679",-156,-4.5,22,0.6,255
"Clarke County, AL","24,083",-221,-9.1,4,0.2,-51
"Clarke County, GA","127,064",944,7.5,490,3.9,602
"Clarke County, MS","15,828",-60,-3.8,2,0.1,-10
"Clarke County, VA","14,508",195,13.5,6,0.4,-15
"Clatsop County, OR","39,182",506,13,0,0,36
"Clay County, AL","13,367",8,0.6,0,0,-50
"Clay County, AR","14,920",-99,-6.6,-2,-0.1,-34
"Clay County, FL","212,230","4,175",19.9,342,1.6,468
"Clay County, IA","16,170",-184,-11.3,12,0.7,17
"Clay County, IL","13,269",-23,-1.7,0,0,-18
"Clay County, IN","26,198",-40,-1.5,-2,-0.1,38
"Clay County, KY","20,366",-354,-17.2,9,0.4,26
"Clay County, MN","63,569",172,2.7,97,1.5,447
"Clay County, MO","242,874","2,583",10.7,213,0.9,"1,310"
"Clay County, MS","19,640",-197,-10,0,0,-5
"Clay County, NC","11,074",304,27.8,11,1,-63
"Clay County, SD","13,990",-24,-1.7,21,1.5,55
"Clay County, TX","10,421",208,20.1,7,0.7,-36
"Clayton County, GA","285,153","1,784",6.3,965,3.4,"2,394"
"Clayton County, IA","17,637",-1,-0.1,5,0.3,-13
"Clearfield County, PA","79,685",-175,-2.2,63,0.8,-236
"Cleburne County, AL","14,900",68,4.6,-5,-0.3,-36
"Cleburne County, AR","25,048",47,1.9,-1,0,-155
"Clermont County, OH","204,214",515,2.5,94,0.5,601
"Cleveland County, NC","97,334",320,3.3,73,0.8,-154
"Cleveland County, OK","279,641",428,1.5,671,2.4,884
"Clinton County, IA","47,010",-328,-7,41,0.9,60
"Clinton County, IL","37,614",-17,-0.5,-1,0,67
"Clinton County, IN","32,317",-93,-2.9,7,0.2,137
"Clinton County, KY","10,276",24,2.3,14,1.4,19
"Clinton County, MI","78,443",601,7.7,88,1.1,227
"Clinton County, MO","20,554",36,1.8,-7,-0.3,-3
"Clinton County, NY","80,980",-178,-2.2,138,1.7,49
"Clinton County, OH","42,009",46,1.1,17,0.4,67
"Clinton County, PA","38,998",-35,-0.9,26,0.7,24
"Coahoma County, MS","23,154",-762,-32.4,0,0,94
